Question	Answer	Source	Metadata
What type of Pokémon is Chikorita?	Chikorita is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/153	{}
How tall is Chikorita?	Chikorita is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/153	{}
Where can I find a Chikorita?	Chikorita is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/153	{}
How much does Chikorita weigh?	The average Chikorita is about 6.4 kilograms.	https://pokeapi.co/api/v2/pokemon/153	{}
What color is a Chikorita?	Usually, Chikorita is green.	https://pokeapi.co/api/v2/pokemon/153	{}
Tell me about Chikorita.	In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around.	https://pokeapi.co/api/v2/pokemon/153	{}
What type of Pokémon is Bayleef?	Bayleef is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/154	{}
How tall is Bayleef?	Bayleef is 1.2 meters tall.	https://pokeapi.co/api/v2/pokemon/154	{}
Where can I find a Bayleef?	Bayleef is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/154	{}
How much does Bayleef weigh?	The average Bayleef is about 15.8 kilograms.	https://pokeapi.co/api/v2/pokemon/154	{}
What color is a Bayleef?	Usually, Bayleef is green.	https://pokeapi.co/api/v2/pokemon/154	{}
Tell me about Bayleef.	Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.	https://pokeapi.co/api/v2/pokemon/154	{}
What type of Pokémon is Meganium?	Meganium is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/155	{}
How tall is Meganium?	Meganium is 1.8 meters tall.	https://pokeapi.co/api/v2/pokemon/155	{}
Where can I find a Meganium?	Meganium is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/155	{}
How much does Meganium weigh?	The average Meganium is about 100.5 kilograms.	https://pokeapi.co/api/v2/pokemon/155	{}
What color is a Meganium?	Usually, Meganium is green.	https://pokeapi.co/api/v2/pokemon/155	{}
Tell me about Meganium.	The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit.	https://pokeapi.co/api/v2/pokemon/155	{}
What type of Pokémon is Cyndaquil?	Cyndaquil is a fire Pokémon.	https://pokeapi.co/api/v2/pokemon/156	{}
How tall is Cyndaquil?	Cyndaquil is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/156	{}
Where can I find a Cyndaquil?	Cyndaquil is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/156	{}
How much does Cyndaquil weigh?	The average Cyndaquil is about 7.9 kilograms.	https://pokeapi.co/api/v2/pokemon/156	{}
